Veleslavínova 59, Praha 1
Karoliny Svetlé 299, Praha 1
Štepánská 615, Praha 1
Senovážná 1394, Praha 1
Valentinská 24, Praha 1
Všehrdova 547, Praha 1
Podolská 158, Praha 4
Keramická 287, Praha 7
Vlastislavova 603, Praha 4
Staropramenná 724, Praha 5
Palackého 715, Praha 1
Jungmannova 742, Praha 1
Táborská 389, Praha 4
Zábehlická 155, Praha 10
Trebízského, Praha 2
Slezská 2191, Praha 3
Betlémské nám. 251, Praha 1
Belohorská 241, Praha 6
Na Belidle 310, Praha 5
Krymská 308, Praha 10
Orelská 540, Praha 10
Lublanská 676, Praha 2
U svobodárny 1511, Praha 9
U Svobodárny 1511, Praha 9
Spálená 107, Praha 1
Biskupská 1139, Praha 1
Adamovská 803, Praha 4
U Brehu 1372, Praha 10
Jižní IX  2960, Praha 4
Myslíkova 258, Praha 2
Preslova 353, Praha 5
Kodanská 623, Praha 10
U Strže 150, Praha 4
Myslíkova 282, Praha 2
Loretánské námestí 107, Praha 1
Podebradská 225, Praha 9
Kamzíková 543, Praha 1
Sokolovská 41, Praha 8
Kozí 858, Praha 1
Školská 38, Praha 1
Karlovo n. 551, Praha 2
U staré pošty 247, Praha 4
V Tuních 1636, Praha 2
Husinecká 829, Praha 3
Levá 391, Praha 4
Radlická 806, Praha 5
Záhrebská 468, Praha 2
Lupácova 805, Praha 3
Chelcického 1153, Praha 3
Uhelný trh 415, Praha 1
Nerudova 233, Praha 1
Vršovická 800, Praha 10
Malostranské n. 266, Praha 1
Maislova 62, Praha 1
Dekanská 173, Praha 4
Hálkova 1631, Praha 2
Libušská 393, Praha 4
Londýnská 221, Praha 2
Sobeslavská 2250, Praha 3
Koželužská 589, Praha 8
Týnská 627, Praha 1
Sokolovská 274, Praha 8
Konviktská 1013, Praha 1
Hostivarská 277, Praha 10
Na žertvách 860, Praha 8
nám.Jirího z Lobkovic 2288, Praha 3
Srobárova 2159, Praha 3
Michelská 19, Praha 4
Jecná 1893, Praha 2
Hostivarská 597, Praha 10
Na Bojišti 1733, Praha 2
Rostislavova 205, Praha 4
Žatecká 17, Praha 1
Odboru 287, Praha 2
Na Pankráci 1600, Praha 4
Na Zlíchove 230, Praha 5
Neklanova 106, Praha 2
Zenklova 360, Praha 8
Sokolovská 97, Praha 8
Pod Nuselskými schody 139, Praha 2
Jandova 207, Praha 9
Jaselská 266, Praha 6
Belohorská 183, Praha 6
Prokopská 294, Praha 1
28.pluku 456, Praha 10
Nerudova 205, Praha 1
Branická 174, Praha 4
V predpolí 1308, Praha 10
Zábehlická 192, Praha 10
Novákových 883, Praha 8
Pivovarnická 1022, Praha 8
Na Pláni 2164, Praha 5
Belohorská 158, Praha 6
Vratislavova 28, Praha 2
Milícova 412, Praha 3
Palackého 723, Praha 1
Rehorova 1022, Praha 3
Chvalova 1119, Praha 3
Podskalská 1291, Praha 2
Krištanova 674, Praha 3
Horní 1462, Praha 4
Nádražní 571, Praha 5
Krakovská 1436, Praha 1
Karmelitská 374, Praha 1
Kubelíkova 1089, Praha 3
Vejvodova 941, Praha 1
Preslova 1269, Praha 5
Cernokostelecká 1808, Praha 10
Viktora Huga 14, Praha 5
Hostivarská 128, Praha 10
U milosrdných 852, Praha 1
Lublanská 146, Praha 2
Križíkova 226, Praha 8
Neklanova 98, Praha 2
U hráze 125, Praha 10
Lublanská 146, Praha 2
Borivojova 1186, Praha 3
Jaurisova 1483, Praha 4
Valentinská 52, Praha 1
Staromlýnská 621, Praha 9
Oblouková 684, Praha 10
Nádražní 969, Praha 5
Korunní 820, Praha 2
Jungmannovo nám. 755, Praha 1
Františka Krížka 513, Praha 7
U libenského pivovaru 1613, Praha 8
Maiselova 60, Praha 1
Kafkova 580, Praha 6
Nad Primaskou 1169, Praha 10
Cestmírova 516, Praha 4
Oldrichova 465, Praha 2
Žitná 1701, Praha 1
Cestmírova 390, Praha 4
Neveklovská 518, Praha 4
Provaznická 385, Praha 1
Moskevská  516, Praha 10
Vodickova, Praha 1
Ortenovo nám. 1488, Praha 7
Koubkova 187, Praha 2
Táborská 500, Praha 4
Na Rokytce 1814, Praha 8
Karoliny Svetlé 1035, Praha 1
Na porící 1047, Praha 1
Nuselská 369, Praha 4
Križovnická 60, Praha 1
Školská 1478, Praha 1
Klimentská 1203, Praha 1
Balbínova 404, Praha 2
Škroupovo nám. 1282, Praha 3
Rybalkova 739, Praha 10
Karlínské námestí 235, Praha 8
Karlovo n. 17, Praha 2
Jánský vršek 241, Praha 1
Tomášská 27, Praha 1
Oldrichova 427, Praha 2
Michalská 441, Praha 1
Opletalova 1964, Praha 1
Svornosti 799, Praha 5
Branická 213, Praha 4
Francouzská 164, Praha 10
Nádražní 54, Praha 5
Urbanova 1010, Praha 5
Vodickova 677, Praha 1
Trojická 1912, Praha 2
pplk.Sochora 983, Praha 7
Kožná 1024, Praha 1
Chlumova 183, Praha 3
Štepánská 543, Praha 2
Palackého 722, Praha 1
Švehlova 3125, Praha 10
Švehlova 3125, Praha 10
Široká 118, Praha 1
Újezd 424, Praha 1
Benediktská 698, Praha 1
Štítného 581, Praha 3
Bubenecská 282, Praha 6
Cimburkova 414, Praha 3
Vinohradská 1786, Praha 3
Vršovická 843, Praha 10
Rokycanova 333, Praha 3
Thámova 396, Praha 8
Nádražní 44, Praha 5
Rokycanova 218, Praha 3
Jilská 353, Praha 1
Staromestské n. 483, Praha 1
Víta Nejedlého 679, Praha 3
Vltavská 787, Praha 5
Jecná 519, Praha 2
Korunní 972, Praha 3
U Vody 1403, Praha 7
Vodní 93, Praha 5
U božích bojovníku 606, Praha 3
Janáckovo nábr. 843, Praha 5
Križíkova 330, Praha 8
Na Veselí 738, Praha 4
Dlouhá 729, Praha 1
Betlémské nám. 351, Praha 1
Kyjevská 341, Praha 6
Melantrichova 477, Praha 1
Vratislavova 68, Praha 2
Týnská ulicka 640, Praha 1
Chlumova 612, Praha 3
Husova 230, Praha 1
Plzenská 609, Praha 5
Tusarova 1051, Praha 7
Elektrárenská 982, Praha 10
Hlavatého 664, Praha 4
Na Zborenci 261, Praha 2
Vltavská 523, Praha 5
Chlumova 199, Praha 3
Ostrovní 125, Praha 1
17.listopadu 2, Praha 1
Jindrišská 901, Praha 1
Vojtešská 210, Praha 1
Lípová 469, Praha 2
Lublanská 1725, Praha 2
Chodská 1416, Praha 2
