Hostivařská 277, Praha 10
Na žertvách 860, Praha 8
nám.Jiřího z Lobkovic 2288, Praha 3
Śrobárova 2159, Praha 3
Michelská 19, Praha 4
Ječná 1893, Praha 2
Hostivařská 597, Praha 10
Na Bojišti 1733, Praha 2
Rostislavova 205, Praha 4
Žatecká 17, Praha 1
Odborů 287, Praha 2
Na Pankráci 1600, Praha 4
Na Zlíchově 230, Praha 5
Neklanova 106, Praha 2
Zenklova 360, Praha 8
Sokolovská 97, Praha 8
Pod Nuselskými schody 139, Praha 2
Jandova 207, Praha 9
Jaselská 266, Praha 6
Bělohorská 183, Praha 6
Prokopská 294, Praha 1
28.pluku 456, Praha 10
Nerudova 205, Praha 1
Branická 174, Praha 4
V předpolí 1308, Praha 10
Záběhlická 192, Praha 10
Novákových 883, Praha 8
Pivovarnická 1022, Praha 8
Na Pláni 2164, Praha 5
Bělohorská 158, Praha 6
Vratislavova 28, Praha 2
Milíčova 412, Praha 3
Palackého 723, Praha 1
Řehořova 1022, Praha 3
Chvalova 1119, Praha 3
Podskalská 1291, Praha 2
Křišťanova 674, Praha 3
Horní 1462, Praha 4
Nádražní 571, Praha 5
Krakovská 1436, Praha 1
Karmelitská 374, Praha 1
Kubelíkova 1089, Praha 3
Vejvodova 941, Praha 1
Preslova 1269, Praha 5
Černokostelecká 1808, Praha 10
Viktora Huga 14, Praha 5
Hostivařská 128, Praha 10
U milosrdných 852, Praha 1
Lublaňská 146, Praha 2
Křižíkova 226, Praha 8
Neklanova 98, Praha 2
U hráze 125, Praha 10
Lublaňská 146, Praha 2
Bořivojova 1186, Praha 3
Jaurisova 1483, Praha 4
Valentinská 52, Praha 1
Staromlýnská 621, Praha 9
Oblouková 684, Praha 10
Nádražní 969, Praha 5
Korunní 820, Praha 2
Jungmannovo nám. 755, Praha 1
Františka Křížka 513, Praha 7
U libeňského pivovaru 1613, Praha 8
Maiselova 60, Praha 1
Kafkova 580, Praha 6
Nad Primaskou 1169, Praha 10
Čestmírova 516, Praha 4
Oldřichova 465, Praha 2
Žitná 1701, Praha 1
Čestmírova 390, Praha 4
Neveklovská 518, Praha 4
Provaznická 385, Praha 1
Moskevská  516, Praha 10
Vodičkova, Praha 1
Ortenovo nám. 1488, Praha 7
Koubkova 187, Praha 2
Táborská 500, Praha 4
Na Rokytce 1814, Praha 8
Karoliny Světlé 1035, Praha 1
Na poříčí 1047, Praha 1
Nuselská 369, Praha 4
Křižovnická 60, Praha 1
Školská 1478, Praha 1
Klimentská 1203, Praha 1
Balbínova 404, Praha 2
Škroupovo nám. 1282, Praha 3
Rybalkova 739, Praha 10
Karlínské náměstí 235, Praha 8
Karlovo n. 17, Praha 2
Jánský vršek 241, Praha 1
Tomášská 27, Praha 1
Oldřichova 427, Praha 2
Michalská 441, Praha 1
Opletalova 1964, Praha 1
Svornosti 799, Praha 5
Branická 213, Praha 4
Francouzská 164, Praha 10
Nádražní 54, Praha 5
Urbanova 1010, Praha 5
Vodičkova 677, Praha 1
Trojická 1912, Praha 2
pplk.Sochora 983, Praha 7
Kožná 1024, Praha 1
Chlumova 183, Praha 3
Štěpánská 543, Praha 2
Palackého 722, Praha 1
Švehlova 3125, Praha 10
Švehlova 3125, Praha 10
Široká 118, Praha 1
Újezd 424, Praha 1
Benediktská 698, Praha 1
Štítného 581, Praha 3
Bubenečská 282, Praha 6
Cimburkova 414, Praha 3
Vinohradská 1786, Praha 3
Vršovická 843, Praha 10
Rokycanova 333, Praha 3
Thámova 396, Praha 8
Nádražní 44, Praha 5
Rokycanova 218, Praha 3
Jilská 353, Praha 1
Staroměstské n. 483, Praha 1
Víta Nejedlého 679, Praha 3
Vltavská 787, Praha 5
Ječná 519, Praha 2
